ID;Datum;Frage 1 - Bitte wählen Sie Ihr zuständiges Schulamt aus:;Frage 2 - Bitte nennen Sie uns die Schule, an der Sie tätig sind:;Frage 3 - Bitte wählen Sie Ihre Rolle:;Frage 4 - Bitte bewerten Sie die folgenden Aussagen: - Die Anwendung ist insgesamt leicht verständlich, intuitiv und selbsterklärend. / (Spalten 1-4);Frage 4 - Bitte bewerten Sie die folgenden Aussagen: - Die Anwendung lief während der Nutzung stabil und zuverlässig.  / (Spalten 1-4);Frage 4 - Bitte bewerten Sie die folgenden Aussagen: - Ich konnte die Anwendung für meine Förderarbeit sinnvoll einsetzen. / (Spalten 1-4);Frage 4 - Bitte bewerten Sie die folgenden Aussagen: - Die Nutzung der Anwendung hat mir meine Arbeit erleichtert. / (Spalten 1-4);Frage 4 - Bitte bewerten Sie die folgenden Aussagen: - Die Nutzung der Anwendung passt zu den bestehenden, schulischen Abläufen. / (Spalten 1-4);Punkte für Bitte bewerten Sie die folgenden Aussagen: - Die Anwendung ist insgesamt leicht verständlich, intuitiv und selbsterklärend. / (Spalten 1-4);Punkte für Bitte bewerten Sie die folgenden Aussagen: - Die Anwendung lief während der Nutzung stabil und zuverlässig.  / (Spalten 1-4);Punkte für Bitte bewerten Sie die folgenden Aussagen: - Ich konnte die Anwendung für meine Förderarbeit sinnvoll einsetzen. / (Spalten 1-4);Punkte für Bitte bewerten Sie die folgenden Aussagen: - Die Nutzung der Anwendung hat mir meine Arbeit erleichtert. / (Spalten 1-4);Punkte für Bitte bewerten Sie die folgenden Aussagen: - Die Nutzung der Anwendung passt zu den bestehenden, schulischen Abläufen. / (Spalten 1-4);Frage 5 - Hier ist Platz für Ihre persönlichen Erfahrungen:;Frage 6 - Bitte bewerten Sie die folgenden Aussagen: ​​​​​​ - Die Lernausgangslage lässt sich auf Basis der zur Auswahl stehenden Kompetenzen zutreffend bestimmen. / (Spalten 1-4);Frage 6 - Bitte bewerten Sie die folgenden Aussagen: ​​​​​​ - Mich interessieren  zu bestimmten Förderzielen die Maßnahmenvorschläge der anderen Lehrkräfte. / (Spalten 1-4);Frage 6 - Bitte bewerten Sie die folgenden Aussagen: ​​​​​​ - Ich möchte die Förderkurse meiner eigenen Schule als Maßnahme angeboten bekommen. / (Spalten 1-4);Frage 6 - Bitte bewerten Sie die folgenden Aussagen: ​​​​​​ - Ich möchte, dass mir die DaZ Kinder (Deutsch als Zweitsprache) angezeigt werden, damit ich für diese einen Förderplan erstellen kann.  / (Spalten 1-4);Frage 6 - Bitte bewerten Sie die folgenden Aussagen: ​​​​​​ - Ich verwende in meiner Förderpraxis für meine Förderungen immer einen vordefinierten Anlass. / (Spalten 1-4);Frage 7 - Bitte bewerten Sie die folgenden Aussagen - Wir orientieren uns  an unserer Schule bei unserer Förderarbeit mit Kindern mit besonderen Schwierigkeiten beim Lesen, Rechtschreiben oder Rechnen an der Handreichung des HMKB zu BSLRR. / (Spalten 1-4);Frage 7 - Bitte bewerten Sie die folgenden Aussagen - In meinem beruflichen Alltag wende ich den Nachteilsausgleich im Rahmen von Förderungen häufig an.  / (Spalten 1-4);Frage 7 - Bitte bewerten Sie die folgenden Aussagen - In meinem beruflichen Alltag wende ich die Abweichung von den Grundsätzen der Leistungsfeststellung im Rahmen von Förderungen häufig an. / (Spalten 1-4);Frage 7 - Bitte bewerten Sie die folgenden Aussagen - In meinem beruflichen Alltag wende ich die Abweichung von den Grundsätzen der Leistungsbewertung (Notenschutz) im Rahmen von Förderungen häufig an. / (Spalten 1-4);Frage 7 - Bitte bewerten Sie die folgenden Aussagen - Die angebotenen Förderziele in der Anwendung reichen für meine Förderarbeit aus.  / (Spalten 1-4);Frage 7 - Bitte bewerten Sie die folgenden Aussagen - Ich evaluiere regelmäßig meine Förderziele, weil das für mich eine wichtige Grundlage zur Weiterentwicklung meiner Förderarbeit ist. / (Spalten 1-4);Frage 7 - Bitte bewerten Sie die folgenden Aussagen - Maßnahmen zur Sprachförderung fremdsprachiger Kinder (Stufe 0 bis Stufe 4) machen einen signifikanten Anteil aller Fördermaßnahmen aus. / (Spalten 1-4);Frage 8 - Priorisieren Sie die folgenden Querschnittsfunktionen im Hinblick auf ihren unmittelbaren Nutzen - Integrierte Diskussionfunktion für die Zusammenarbeit mit dem Kollegium;Frage 8 - Priorisieren Sie die folgenden Querschnittsfunktionen im Hinblick auf ihren unmittelbaren Nutzen - Kalenderfunktion und Erinnerungsfunktion;Frage 8 - Priorisieren Sie die folgenden Querschnittsfunktionen im Hinblick auf ihren unmittelbaren Nutzen - Integration von Hilfestellungen;Frage 8 - Priorisieren Sie die folgenden Querschnittsfunktionen im Hinblick auf ihren unmittelbaren Nutzen - Ablage und Nutzung von Dokumenten;Frage 9 - Hier ist Platz für Ihre persönliche Anregung zur Ausbaustufe 2;Frage 10 - Wir benötigen auch in Zukunft Freiwillige, die uns bei der fachlichen und konzeptionellen Entwicklung unterstützen. Hierzu gehören: NutzertestsInterviewsFachliche Bewertungen und inhaltlicher InputWenn Sie Interesse haben, hinterlassen Sie uns bitte hier Ihren Namen und Ihre E-Mailadresse und Sie werden persönlich angeschrieben, um Thema, Fragen und Details zu klären. Niemand außer der Projektleitung sieht Ihren Eintrag.;Punktesumme zu Frage 4;Punktesumme zu Seite 3;Gesamtpunktesumme;ist anonym;abgeschlossen;beendet;Beantwortungsdauer (in s);Antwort-Quote;Sprache;Startzeit;Endzeit;Gerät;Betriebssystem;Browser;Laufzeit;Dauer für Seite 1 (in s);Dauer für Seite 2 (in s);Dauer für Seite 3 (in s);Dauer für Seite 4 (in s);Dauer für Seite 5 (in s);Dauer für Seite 6 (in s);Dauer für Seite 7 (in s)
6;06.01.2026;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;1;2;3;;;;0;0;0;1;1;1;595,36;10%;de;06.01.2026;06.01.2026;PC/Desktop;Windows;Chrome; 00:09:56;16;21;38;47;453;21;0
10;09.01.2026;Darmstadt (Landkreis Darmstadt-Dieburg und Stadt Darmstadt);Das ganze Leben ist Schule;Lehrkraft;Trifft absolut zu;Trifft absolut zu;Trifft überwiegend zu;Trifft eher nicht zu;Trifft überwiegend zu;0;0;0;0;0;Gut aber nicht gut genug;Trifft absolut zu;Trifft eher nicht zu;;;;Trifft eher nicht zu;Trifft überwiegend zu ;Trifft absolut zu;Trifft überwiegend zu ;Trifft absolut nicht zu;;;1;3;2;;weiter so;;0;0;0;1;1;1;191,72;90%;de;09.01.2026;09.01.2026;PC/Desktop;Windows;Chrome; 00:03:12;4;39;30;14;40;62;4
12;12.01.2026;Marburg (Landkreis Marburg Biedenkopf);lorem ispum;Lehrkraft;;;;;;0;0;0;0;0;;;;;;;;;;;;;;1;2;3;;;;0;0;0;1;1;1;130,45;40%;de;12.01.2026;12.01.2026;PC/Desktop;Mac OS;Chrome; 00:02:11;13;19;65;10;13;5;5
16;19.01.2026;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;1;3;2;4;;;0;0;0;1;1;1;318,3;10%;de;19.01.2026;19.01.2026;PC/Desktop;Windows;Chrome; 00:05:19;17;9;31;15;177;69;0
17;20.01.2026;Marburg (Landkreis Marburg Biedenkopf);Baumschule;Mitglied der Schulverwaltung;Trifft absolut zu;Trifft absolut zu;Trifft absolut zu;Trifft absolut zu;Trifft absolut zu;0;0;0;0;0;alles tiptop;Trifft absolut zu;Trifft überwiegend zu;;;;Trifft überwiegend zu ;Trifft eher nicht zu;Trifft eher nicht zu;Trifft absolut nicht zu;Trifft absolut zu;Trifft absolut zu;;4;2;5;1;;habe leider keine Zeit;0;0;0;1;1;1;23380;90%;de;20.01.2026;20.01.2026;PC/Desktop;Windows;Chrome; 06:29:40;5;22;30;64;23240;17;2
18;20.01.2026;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;1;2;3;4;;;0;0;0;1;1;1;157,3;10%;de;20.01.2026;20.01.2026;PC/Desktop;Windows;Chrome; 00:02:38;7;4;6;15;120;4;0
21;03.03.2026;Marburg (Landkreis Marburg Biedenkopf);;Lehrkraft;;;;;;0;0;0;0;0;;;;;;;;;;;;;;1;2;3;4;;;0;0;0;1;1;1;178,51;30%;de;03.03.2026;03.03.2026;PC/Desktop;Mac OS;Firefox; 00:02:59;14;22;40;34;54;7;8
22;05.03.2026;;;Mitglied der Schulverwaltung;;;;;;0;0;0;0;0;;;;;;;;;;;;;;1;2;3;4;;;0;0;0;1;1;1;41,55;20%;de;05.03.2026;05.03.2026;PC/Desktop;Windows;Firefox; 00:00:42;4;19;4;3;5;3;4
25;19.03.2026;Frankfurt am Main (kreisfrei);Ludwig-Weber-Schule;Lehrkraft;Trifft überwiegend zu;Trifft überwiegend zu;Trifft überwiegend zu;Trifft eher nicht zu;Trifft überwiegend zu;0;0;0;0;0;;Trifft eher nicht zu;Trifft absolut zu;Trifft absolut zu;Trifft absolut zu;Trifft überwiegend zu;Trifft absolut zu;Trifft eher nicht zu;Trifft eher nicht zu;Trifft eher nicht zu;Trifft absolut nicht zu;Trifft eher nicht zu;Trifft eher nicht zu;3;4;1;2;;;0;0;0;1;1;1;283,84;70%;de;19.03.2026;19.03.2026;PC/Desktop;Windows;Chrome; 00:04:44;3;21;47;53;143;11;6
26;19.03.2026;Bad Vilbel (Hochtaunuskreis und Wetteraukreis);Ernst-Reuter-Schule;Lehrkraft;Trifft absolut zu;Trifft absolut zu;Trifft absolut zu;Trifft absolut zu;Trifft überwiegend zu;0;0;0;0;0;Ich wünsche mir die Möglichkeit, Förderstunden/Einzelförderungen angeben zu können sowie die Auswahlmöglichkeit 'BFZ' beim Feld Unterstützer.;Trifft absolut zu;Trifft absolut zu;Trifft absolut zu;Trifft absolut zu;Trifft überwiegend zu;Trifft überwiegend zu ;Trifft absolut zu;Trifft überwiegend zu ;Trifft eher nicht zu;Trifft überwiegend zu ;Trifft absolut zu;Trifft eher nicht zu;2;4;1;3;Ich hätte gerne noch die Möglichkeit, außerschulische Institutionen als Unterstützer oder als Maßnahme anzugeben;Für den emotional-sozialen Bereich - sehr gerne! Olivia Scozzari-Dingel (olivia.scozzari-dingel@schule.hessen.de);0;0;0;1;1;1;414,67;100%;de;19.03.2026;19.03.2026;PC/Desktop;Windows;Chrome; 00:06:55;9;38;83;47;170;64;3
27;20.03.2026;Bad Vilbel (Hochtaunuskreis und Wetteraukreis);Eichbaumschule;Mitglied der Schulleitung;Trifft absolut zu;Trifft absolut zu;Trifft absolut zu;Trifft absolut zu;Trifft überwiegend zu;0;0;0;0;0;Wir sind eine Schule mit einer 'Flexiblen Eingangsstufe'. Leider wurden die Kinder aus diese Kinder im ila-Programm nicht erfasst.;Trifft überwiegend zu;Trifft absolut zu;Trifft absolut zu;Trifft absolut zu;Trifft eher nicht zu;Trifft absolut zu;Trifft überwiegend zu ;Trifft absolut zu;Trifft überwiegend zu ;Trifft überwiegend zu ;Trifft absolut zu;Trifft eher nicht zu;1;2;3;4;;;0;0;0;1;1;1;347,46;80%;de;20.03.2026;20.03.2026;PC/Desktop;Windows;Chrome; 00:05:48;9;34;139;43;100;19;3
